Hour;Temperature;Relative_Humidity;CO2;TVOC;Light_Level;Occupancy;PM2.5;PM10;Radiator_Temperature
2025-02-03 08:00:00;21;46,37111111;419,39;0,01;1;0,11;31,165;33;44
2025-02-03 09:00:00;;45,5;420,4;221,365;2,4;;24,2;26;37,75
2025-02-03 10:00:00;22;44,61111111;415,1666667;228,905;1,665;;23,75;26,415;41
2025-02-03 11:00:00;22;44,6;420,1;229,205;2,4;;23,5;26,2;41
2025-02-03 12:00:00;;43,77777778;411,5566667;0,01;2,67;;24,75;26;34,6
2025-02-03 13:00:00;22,5;43,55555556;413,2766667;0,01;1,67;;24;26,165;42
2025-02-03 14:00:00;21;43,31444444;403,7766667;0,01;1,17;;25,085;25,5;42
2025-02-03 15:00:00;23;43,01888889;412,2233333;114,375;1;;24,835;25,835;42
2025-02-03 16:00:00;22,66666667;43,05555556;407,61;0,01;0,67;;23;24;45,33333333
2025-02-03 17:00:00;22;44,31444444;412,0566667;0,01;;;23,25;25;42
2025-02-03 18:00:00;22;44,53666667;409,8333333;0,01;;;27,835;29;40,66666667
2025-02-04 08:00:00;20;40,20333333;417,7766667;110,04;1;0,21;40,75;48;42,66666667
2025-02-04 09:00:00;20,5;39,33333333;420,7233333;190,475;1;;29,335;32,25;45
2025-02-04 10:00:00;21,8;38,63;414,4433333;184,21;1,665;;24,165;26,665;37,75
2025-02-04 11:00:00;23;37,26;415,7233333;221,9;2;;24,335;25,335;34,33333333
2025-02-04 12:00:00;23;36,70333333;399,61;105,935;1,83;;21,5;22,75;42
2025-02-04 13:00:00;23;36,03666667;405,7766667;0,01;1;;22,415;23,75;45,66666667
2025-02-04 14:00:00;;35,55555556;407,5566667;0,01;1;;22,585;24,085;45,66666667
2025-02-04 15:00:00;22;34,98111111;401;0,01;1;;21,165;23,5;42
2025-02-04 16:00:00;22;35,07444444;405,89;114,3;0,67;;20,25;20,665;46
2025-02-04 17:00:00;22;36,38888889;407,11;0,01;;;18,085;18,415;46,33333333
2025-02-04 18:00:00;;36,88888889;411,9433333;0,01;;;16,915;18,085;37,5
2025-02-05 08:00:00;21;36,88888889;401,2766667;0,01;1;0,12;37,5;44;37,5
2025-02-05 09:00:00;21,66666667;36,27777778;405,3333333;0,01;1,33;;28,5;29,915;41,5
2025-02-05 10:00:00;21,5;36,14777778;404,61;0,01;1,835;;27,5;29,415;41
2025-02-05 11:00:00;22,66666667;35,90777778;411,61;0,01;2,085;;30,665;32,915;42
2025-02-05 12:00:00;23;35,29666667;409,11;0,01;2;0,17;30,665;34,915;42
2025-02-05 13:00:00;23;35,33333333;431,2766667;0,01;1,33;2,67;30,415;33,335;35
2025-02-05 14:00:00;23;35,01888889;471,2766667;38,31;1;2,42;29,835;31,25;48
2025-02-05 15:00:00;23,33333333;35,70333333;509,6666667;16,145;1;2,08;30,415;33,415;35
